label,message
scam,"Anda mendapatkan reward spesial dari bank. Login sekarang untuk melihat detail."
scam,"Segera verifikasi identitas Anda agar akun tidak diblokir."
scam,"Selamat! Anda terpilih menerima giveaway eksklusif. Klik link berikut."
scam,"Transfer dana berhasil masuk. Silakan konfirmasi data rekening."
scam,"Klaim saldo e-wallet gratis Rp250 ribu hari ini."
scam,"Perhatian! Aktivitas login mencurigakan ditemukan pada akun Anda."
scam,"Hadiah terbatas! Segera klaim sebelum masa berlaku habis."
scam,"Anda menerima bonus besar dari event nasional. Hubungi admin sekarang."
scam,"Peringatan! Rekening Anda akan diblokir permanen. Segera verifikasi akun dan masukkan kode OTP sekarang."
scam,"Akun mobile banking Anda terdeteksi login dari perangkat baru. Mohon konfirmasi OTP untuk keamanan."
scam,"Kode OTP Anda diperlukan untuk pembaruan sistem bank. Jangan abaikan pesan ini."
scam,"Akun Anda mengalami aktivitas mencurigakan. Verifikasi OTP segera untuk menghindari pemblokiran."
scam,"Mohon masukkan OTP untuk melanjutkan proses aktivasi ulang rekening."
scam,"Sistem mendeteksi transaksi tidak biasa. Segera verifikasi OTP untuk membatalkan transaksi."
scam,"Nomor rekening Anda akan dinonaktifkan jika tidak melakukan verifikasi OTP."
scam,"Pembaruan data rekening gagal. Silakan kirim kode OTP untuk melanjutkan."
scam,"Verifikasi OTP diperlukan agar akun tidak dibatasi sementara."
scam,"Mohon konfirmasi identitas dengan kode OTP sebelum akun diblokir."
scam,"Akun bank Anda dibatasi sementara. Login sekarang untuk memverifikasi data."
scam,"Peringatan keamanan! Rekening Anda akan dibekukan. Segera update password."
scam,"Bank mendeteksi aktivitas mencurigakan pada akun Anda. Klik link untuk verifikasi."
scam,"Mohon segera konfirmasi data rekening agar layanan tetap aktif."
scam,"Akun internet banking Anda memerlukan verifikasi ulang."
scam,"Rekening Anda sedang ditinjau. Login untuk menghindari pemblokiran."
scam,"Sistem bank mendeteksi kesalahan data. Segera update informasi rekening Anda."
scam,"Transaksi mencurigakan ditemukan. Mohon login sekarang untuk pembatalan."
scam,"Akun Anda dinonaktifkan sementara. Klik link berikut untuk aktivasi."
scam,"Verifikasi ulang rekening diperlukan untuk menjaga keamanan transaksi."
scam,"WhatsApp Anda akan kedaluwarsa hari ini. Verifikasi nomor sekarang."
scam,"Akun WhatsApp Business Anda terindikasi spam. Login untuk pemulihan."
scam,"Nomor WhatsApp Anda akan diblokir permanen jika tidak diverifikasi."
scam,"Seseorang mencoba mengakses akun WhatsApp Anda. Klik tautan untuk amankan akun."
scam,"WhatsApp Anda membutuhkan verifikasi ulang untuk tetap aktif."
scam,"SELAMAT! Anda memenangkan hadiah uang tunai Rp75 juta dari undian nasional."
scam,"Anda resmi terpilih sebagai pemenang giveaway smartphone terbaru."
scam,"Hadiah spesial menunggu Anda! Klaim sekarang sebelum masa berlaku habis."
scam,"Selamat! Anda mendapatkan voucher belanja gratis Rp2 juta."
scam,"Nomor Anda terpilih menerima hadiah motor terbaru tahun ini."
scam,"Pemenang undian bulanan telah diumumkan. Segera hubungi admin untuk pencairan hadiah."
scam,"Anda memenangkan hadiah saldo DANA Rp1 juta. Klaim sekarang."
scam,"Bonus spesial untuk pelanggan setia. Ambil hadiah Anda hari ini."
scam,"Selamat! Anda menerima cashback eksklusif sebesar Rp500 ribu."
scam,"Hadiah giveaway akan hangus jika tidak segera diklaim."
scam,"Klik link berikut untuk klaim hadiah resmi Anda."
scam,"Akun Anda terpilih untuk menerima bantuan tunai sebesar Rp2 juta."
scam,"Program loyalitas pelanggan memberikan reward besar untuk Anda."
scam,"Konfirmasi data Anda sekarang untuk menerima hadiah."
scam,"Anda mendapatkan bonus saldo gratis. Login untuk aktivasi."
scam,"Paket Anda gagal dikirim. Mohon konfirmasi alamat melalui link berikut."
scam,"Pengiriman tertunda karena alamat tidak valid. Klik tautan untuk update."
scam,"Barang Anda tertahan di gudang. Segera lakukan verifikasi data."
scam,"Klik link berikut untuk menjadwalkan ulang pengiriman paket Anda."
scam,"Paket Anda hampir dikembalikan ke pengirim. Konfirmasi sekarang."
scam,"Tagihan belum dibayar. Klik link berikut untuk menghindari denda."
scam,"Akun Anda memerlukan pembaruan data. Login sekarang melalui tautan berikut."
scam,"Silakan verifikasi akun untuk melanjutkan akses layanan."
scam,"Klik di sini untuk memperbarui informasi akun Anda."
scam,"Akses akun akan dihentikan jika tidak melakukan verifikasi segera."
scam,"Anda mendapatkan hadiah spesial! Klik link berikut untuk klaim."
scam,"Peringatan! Akun Anda akan diblokir jika tidak melakukan verifikasi dalam 24 jam."
scam,"Selamat! Anda memenangkan hadiah uang tunai Rp100 juta. Hubungi admin sekarang untuk klaim."
scam,"Anda terpilih untuk menerima bonus saldo DANA Rp1 juta. Klaim sekarang juga."
scam,"Peringatan! Rekening bank Anda akan diblokir. Segera verifikasi akun dan kirim kode OTP."
scam,"Akun m-banking Anda terdeteksi aktivitas mencurigakan. Mohon konfirmasi password dan OTP."
scam,"Klik link berikut untuk aktivasi ulang akun bank Anda sebelum dinonaktifkan permanen."
scam,"Anda mendapatkan bantuan sosial sebesar Rp2.500.000. Segera daftar melalui link berikut."
scam,"Paket Anda tertahan di gudang. Konfirmasi alamat sekarang melalui tautan berikut."
scam,"Tagihan Anda belum dibayar. Klik link untuk melakukan pembayaran agar akun tidak diblokir."
scam,"Hadiah spesial untuk pelanggan setia! Klaim voucher gratis Rp1 juta sekarang."
scam,"Selamat! Anda mendapatkan iPhone gratis dari event nasional. Segera isi data diri."
scam,"Akun WhatsApp Anda akan dinonaktifkan. Verifikasi nomor sekarang juga."
scam,"Mohon segera update data rekening Anda untuk menghindari pembekuan akun."
scam,"Anda memenangkan undian motor terbaru. Hubungi customer service sekarang."
scam,"Akun BPJS Anda bermasalah. Segera login ulang melalui tautan berikut."
scam,"Verifikasi akun email Anda sekarang agar tidak diblokir permanen."
scam,"Peluang kerja online dengan penghasilan Rp500 ribu per hari. Daftar sekarang tanpa modal."
scam,"Klik link berikut untuk menerima transfer dana masuk sebesar Rp3 juta."
scam,"Akun Shopee Anda memenangkan cashback besar. Klaim sekarang sebelum kadaluarsa."
scam,"Pemberitahuan resmi: akun Anda akan ditangguhkan jika tidak melakukan verifikasi."
scam,"Dana bantuan pendidikan Rp1 juta telah disetujui. Segera aktivasi akun."
scam,"Konfirmasi pembayaran sekarang untuk menghindari pemutusan layanan."
scam,"Anda mendapatkan reward spesial dari bank. Login sekarang untuk melihat detail."
scam,"Segera verifikasi identitas Anda agar akun tidak diblokir."
scam,"Selamat! Anda terpilih menerima giveaway eksklusif. Klik link berikut."
scam,"Transfer dana berhasil masuk. Silakan konfirmasi data rekening."
scam,"Klaim saldo e-wallet gratis Rp250 ribu hari ini."
scam,"Perhatian! Aktivitas login mencurigakan ditemukan pada akun Anda."
scam,"Hadiah terbatas! Segera klaim sebelum masa berlaku habis."
scam,"Anda menerima bonus besar dari event nasional. Hubungi admin sekarang."
scam,"Peringatan! Rekening Anda akan diblokir permanen. Segera verifikasi akun dan masukkan kode OTP sekarang."
scam,"Akun mobile banking Anda terdeteksi login dari perangkat baru. Mohon konfirmasi OTP untuk keamanan."
scam,"Peringatan! Rekening Anda akan diblokir permanen. Segera verifikasi akun dan masukkan kode OTP sekarang."
scam,"Akun mobile banking Anda terdeteksi login dari perangkat baru. Mohon konfirmasi OTP untuk keamanan."
scam,"Kode OTP Anda diperlukan untuk pembaruan sistem bank. Jangan abaikan pesan ini."
scam,"Akun Anda mengalami aktivitas mencurigakan. Verifikasi OTP segera untuk menghindari pemblokiran."
scam,"Mohon masukkan OTP untuk melanjutkan proses aktivasi ulang rekening."
scam,"Sistem mendeteksi transaksi tidak biasa. Segera verifikasi OTP untuk membatalkan transaksi."
scam,"Nomor rekening Anda akan dinonaktifkan jika tidak melakukan verifikasi OTP."
scam,"Pembaruan data rekening gagal. Silakan kirim kode OTP untuk melanjutkan."
scam,"Verifikasi OTP diperlukan agar akun tidak dibatasi sementara."
scam,"Mohon konfirmasi identitas dengan kode OTP sebelum akun diblokir."
scam,"Akun bank Anda dibatasi sementara. Login sekarang untuk memverifikasi data."
scam,"Peringatan keamanan! Rekening Anda akan dibekukan. Segera update password."
scam,"Bank mendeteksi aktivitas mencurigakan pada akun Anda. Klik link untuk verifikasi."
scam,"Mohon segera konfirmasi data rekening agar layanan tetap aktif."
scam,"Akun internet banking Anda memerlukan verifikasi ulang."
scam,"Rekening Anda sedang ditinjau. Login untuk menghindari pemblokiran."
scam,"Sistem bank mendeteksi kesalahan data. Segera update informasi rekening Anda."
scam,"Transaksi mencurigakan ditemukan. Mohon login sekarang untuk pembatalan."
scam,"Akun Anda dinonaktifkan sementara. Klik link berikut untuk aktivasi."
scam,"Verifikasi ulang rekening diperlukan untuk menjaga keamanan transaksi."
scam,"WhatsApp Anda akan kedaluwarsa hari ini. Verifikasi nomor sekarang."
scam,"Akun WhatsApp Business Anda terindikasi spam. Login untuk pemulihan."
scam,"Nomor WhatsApp Anda akan diblokir permanen jika tidak diverifikasi."
scam,"Seseorang mencoba mengakses akun WhatsApp Anda. Klik tautan untuk amankan akun."
scam,"WhatsApp Anda membutuhkan verifikasi ulang untuk tetap aktif."
scam,"SELAMAT! Anda memenangkan hadiah uang tunai Rp75 juta dari undian nasional."
scam,"Anda resmi terpilih sebagai pemenang giveaway smartphone terbaru."
scam,"Hadiah spesial menunggu Anda! Klaim sekarang sebelum masa berlaku habis."
scam,"Selamat! Anda mendapatkan voucher belanja gratis Rp2 juta."
scam,"Nomor Anda terpilih menerima hadiah motor terbaru tahun ini."
scam,"Pemenang undian bulanan telah diumumkan. Segera hubungi admin untuk pencairan hadiah."
scam,"Anda memenangkan hadiah saldo DANA Rp1 juta. Klaim sekarang."
scam,"Bonus spesial untuk pelanggan setia. Ambil hadiah Anda hari ini."
scam,"Selamat! Anda menerima cashback eksklusif sebesar Rp500 ribu."
scam,"Hadiah giveaway akan hangus jika tidak segera diklaim."
scam,"Klik link berikut untuk klaim hadiah resmi Anda."
scam,"Akun Anda terpilih untuk menerima bantuan tunai sebesar Rp2 juta."
scam,"Program loyalitas pelanggan memberikan reward besar untuk Anda."
scam,"Konfirmasi data Anda sekarang untuk menerima hadiah."
scam,"Anda mendapatkan bonus saldo gratis. Login untuk aktivasi."
scam,"Paket Anda gagal dikirim. Mohon konfirmasi alamat melalui link berikut."
scam,"Pengiriman tertunda karena alamat tidak valid. Klik tautan untuk update."
scam,"Barang Anda tertahan di gudang. Segera lakukan verifikasi data."
scam,"Klik link berikut untuk menjadwalkan ulang pengiriman paket Anda."
scam,"Paket Anda hampir dikembalikan ke pengirim. Konfirmasi sekarang."
scam,"Tagihan belum dibayar. Klik link berikut untuk menghindari denda."
scam,"Akun Anda memerlukan pembaruan data. Login sekarang melalui tautan berikut."
scam,"Silakan verifikasi akun untuk melanjutkan akses layanan."
scam,"Klik di sini untuk memperbarui informasi akun Anda."
scam,"Akses akun akan dihentikan jika tidak melakukan verifikasi segera."
scam,"QRIS pembayaran Anda gagal diverifikasi. Scan ulang melalui link berikut."
scam,"Transaksi QRIS tertunda. Klik tautan berikut untuk konfirmasi pembayaran."
scam,"Pembayaran QRIS Anda belum berhasil. Mohon verifikasi akun sekarang."
scam,"Refund QRIS sebesar Rp250.000 sedang diproses. Login untuk pencairan."
scam,"Kesalahan sistem QRIS terdeteksi. Segera update data pembayaran."
scam,"Anda menerima saldo DANA gratis Rp500.000. Klaim sekarang."
scam,"Akun DANA Anda memenangkan bonus saldo spesial hari ini."
scam,"Transfer masuk ke akun DANA Anda tertunda. Klik link verifikasi."
scam,"Akun DANA Anda akan dibatasi jika tidak melakukan verifikasi."
scam,"Cashback DANA sebesar Rp300 ribu siap dicairkan."
scam,"Aktivitas mencurigakan ditemukan di akun DANA Anda. Login sekarang."
scam,"Akun DANA Anda membutuhkan update keamanan. Klik tautan berikut."
scam,"Saldo gratis DANA menunggu klaim Anda. Berlaku hari ini saja."
scam,"Verifikasi akun DANA sekarang agar tidak diblokir."
scam,"Anda mendapatkan reward DANA Rp750 ribu dari event nasional."
scam,"Akun OVO Anda memenangkan cashback spesial Rp1 juta."
scam,"Saldo OVO gratis tersedia untuk akun Anda. Ambil sekarang."
scam,"Akun OVO terdeteksi bermasalah. Mohon verifikasi data akun."
scam,"Transfer OVO gagal diproses. Login sekarang untuk melanjutkan."
scam,"Akun OVO Anda akan dibatasi sementara jika tidak diverifikasi."
scam,"Anda mendapatkan promo spesial OVO. Klik link untuk aktivasi."
scam,"Bonus OVO Points besar tersedia hari ini."
scam,"Pembayaran OVO Anda gagal. Konfirmasi ulang sekarang."
scam,"Sistem mendeteksi login tidak sah pada akun OVO Anda."
scam,"Verifikasi akun OVO diperlukan untuk menjaga keamanan transaksi."
scam,"GoPay Anda menerima transfer Rp900 ribu. Konfirmasi sekarang."
scam,"Akun GoPay terdeteksi aktivitas mencurigakan."
scam,"Saldo GoPay gratis siap diklaim oleh pengguna terpilih."
scam,"Verifikasi akun GoPay sekarang untuk menghindari pembatasan."
scam,"Cashback GoPay sebesar Rp400 ribu tersedia hari ini."
scam,"Anda memenangkan promo GoPay eksklusif."
scam,"Akun GoPay membutuhkan pembaruan data keamanan."
scam,"Klik tautan berikut untuk mengaktifkan bonus saldo GoPay."
scam,"GoPay Anda akan dinonaktifkan jika tidak login ulang."
scam,"Refund GoPay sedang diproses. Login untuk pencairan."
scam,"Akun Shopee Anda memenangkan voucher gratis Rp1 juta."
scam,"Shopee mendeteksi login tidak sah pada akun Anda."
scam,"Pesanan Shopee gagal diproses. Klik tautan untuk verifikasi."
scam,"Akun Shopee Anda akan dibekukan jika tidak melakukan update data."
scam,"Anda mendapatkan cashback besar dari Shopee."
scam,"Shopee Loyalty Program memberikan hadiah spesial untuk akun Anda."
scam,"Tokopedia mendeteksi aktivitas tidak biasa pada akun Anda."
scam,"Pesanan Tokopedia tertunda. Mohon update alamat sekarang."
scam,"Akun Tokopedia Anda menerima reward eksklusif."
scam,"Verifikasi akun Tokopedia sekarang agar layanan tetap aktif."
scam,"Customer Service Shopee: akun Anda terindikasi pelanggaran. Hubungi admin berikut."
scam,"CS Tokopedia: terdapat kesalahan pembayaran. Klik link bantuan."
scam,"Admin marketplace: mohon konfirmasi OTP untuk pemulihan akun."
scam,"Pesanan marketplace Anda dibatalkan. Login untuk aktivasi ulang."
scam,"Akun marketplace Anda membutuhkan verifikasi identitas."
scam,"Paket Anda gagal dikirim karena alamat tidak lengkap. Segera perbarui data melalui link berikut."
scam,"Kurir tidak dapat menghubungi Anda. Klik tautan untuk menjadwalkan ulang pengiriman."
scam,"Paket Anda tertahan di gudang pusat. Konfirmasi alamat sekarang."
scam,"Pengiriman paket dibatalkan. Verifikasi identitas Anda untuk melanjutkan."
scam,"Paket Anda hampir dikembalikan ke pengirim. Segera lakukan konfirmasi."
scam,"Biaya pengiriman belum dibayar. Klik link untuk menyelesaikan pembayaran."
scam,"Paket Anda mengalami kendala pengiriman. Login untuk melihat detail."
scam,"Pengiriman paket tertunda akibat kesalahan alamat. Update sekarang."
scam,"Silakan konfirmasi nomor telepon agar paket dapat dikirim."
scam,"Paket Anda membutuhkan verifikasi tambahan untuk pengiriman."
scam,"Tagihan pinjaman Anda jatuh tempo hari ini. Segera lakukan pembayaran."
scam,"Pengajuan pinjaman online Anda disetujui. Cairkan dana sekarang."
scam,"Pinjaman tunai Rp15 juta tersedia tanpa jaminan. Daftar sekarang."
scam,"Akun pinjaman Anda memiliki tunggakan. Login untuk pembayaran."
scam,"Anda memenuhi syarat pinjaman cepat cair tanpa BI checking."
scam,"Dana pinjaman Anda siap dicairkan. Mohon verifikasi rekening."
scam,"Kredit online Anda telah disetujui. Klik untuk pencairan."
scam,"Segera lunasi pinjaman agar terhindar dari denda besar."
scam,"Pinjaman instan bunga rendah tersedia khusus hari ini."
scam,"Aktivasi akun pinjaman online sekarang untuk menerima dana."
scam,"Kerja online dari rumah dengan penghasilan Rp500 ribu per hari."
scam,"Lowongan kerja online tanpa pengalaman, gaji harian langsung cair."
scam,"Dibutuhkan admin chat freelance. Daftar sekarang tanpa modal."
scam,"Pekerjaan mudah hanya like dan subscribe, dibayar harian."
scam,"Kesempatan kerja online terbatas. Gaji hingga Rp10 juta per bulan."
scam,"Gabung tim kerja online kami dan dapatkan bonus besar."
scam,"Kerja paruh waktu hanya modal HP. Hasil langsung cair."
scam,"Pendaftaran kerja online ditutup malam ini. Segera daftar."
scam,"Transfer uang dan dapat komisi tinggi setiap hari."
scam,"Lowongan kerja remote dengan penghasilan cepat tanpa syarat."
scam,"Pemerintah memberikan bantuan sosial Rp2 juta. Daftar sekarang."
scam,"Dana bansos Anda sudah cair. Segera klaim melalui link resmi."
scam,"Bantuan pendidikan Rp1,5 juta tersedia untuk penerima terpilih."
scam,"Anda menerima bantuan tunai langsung dari pemerintah."
scam,"Subsidi listrik gratis tersedia. Login untuk pengecekan."
scam,"Bantuan UMKM Rp5 juta siap dicairkan hari ini."
scam,"Program bantuan keluarga telah dibuka. Segera verifikasi data."
scam,"Bansos terbaru sedang dibagikan. Konfirmasi identitas sekarang."
scam,"Anda terdaftar sebagai penerima bantuan digital nasional."
scam,"Segera klaim bantuan pemerintah sebelum kuota habis."
scam,"Akun Anda akan diblokir permanen jika tidak melakukan verifikasi."
scam,"Sistem mendeteksi aktivitas mencurigakan pada akun Anda."
scam,"Akun email Anda akan dinonaktifkan. Login sekarang."
scam,"Akses akun Anda ditangguhkan sementara. Mohon update password."
scam,"Keamanan akun terancam. Verifikasi identitas Anda segera."
scam,"Login tidak sah terdeteksi. Klik link untuk mengamankan akun."
scam,"Akun media sosial Anda akan dibekukan jika tidak diverifikasi."
scam,"Terjadi kesalahan data pada akun Anda. Perbarui sekarang."
scam,"Akun digital Anda membutuhkan verifikasi ulang."
scam,"Konfirmasi identitas diperlukan agar akun tetap aktif."
scam,"Transfer sebesar Rp3.500.000 telah masuk ke rekening Anda. Mohon konfirmasi data penerima."
scam,"Anda menerima transfer tidak dikenal. Klik link berikut untuk pembatalan."
scam,"Kesalahan transfer terdeteksi. Segera login untuk pengembalian dana."
scam,"Dana masuk tertahan karena verifikasi belum selesai."
scam,"Transfer bank Anda sedang diproses. Mohon update informasi rekening."
scam,"Anda menerima transfer dari rekening asing. Konfirmasi sekarang."
scam,"Pengembalian dana gagal diproses. Login ulang untuk melanjutkan."
scam,"Dana refund Rp1 juta menunggu verifikasi identitas."
scam,"Transfer tertunda akibat kesalahan sistem. Klik tautan bantuan."
scam,"Akun Anda menerima dana bantuan. Segera aktivasi rekening."
scam,"Customer Service Bank: akun Anda terindikasi pelanggaran keamanan."
scam,"CS DANA: terdapat aktivitas mencurigakan pada akun Anda."
scam,"Admin Shopee: pesanan Anda gagal diproses, mohon verifikasi OTP."
scam,"Customer Service Tokopedia: akun membutuhkan pembaruan data."
scam,"CS WhatsApp: akun Anda dilaporkan spam, login untuk pemulihan."
scam,"Admin pusat bantuan: verifikasi identitas diperlukan."
scam,"Layanan pelanggan resmi: akun Anda akan dibatasi."
scam,"Petugas keamanan digital meminta update password akun."
scam,"Mohon hubungi customer support berikut untuk aktivasi ulang."
scam,"Tim bantuan pelanggan: klik link berikut untuk pemulihan akun."
scam,"Tagihan pajak kendaraan Anda belum dibayar. Segera lakukan pembayaran."
scam,"Pajak digital tertunggak ditemukan atas nama Anda."
scam,"Denda pajak akan meningkat jika tidak segera dibayar."
scam,"Klik tautan berikut untuk pembayaran pajak kendaraan online."
scam,"Anda memiliki tunggakan pajak yang harus diselesaikan hari ini."
scam,"Tagihan pajak elektronik tersedia. Login untuk detail."
scam,"Pajak UMKM Anda belum dibayar. Konfirmasi sekarang."
scam,"Peringatan resmi: pajak tahunan Anda jatuh tempo."
scam,"Pembayaran pajak tertunda. Mohon update data rekening."
scam,"Pajak digital gagal diproses. Klik untuk verifikasi."
scam,"Tilang elektronik ditemukan pada kendaraan Anda."
scam,"SIM Anda akan diblokir karena pelanggaran lalu lintas."
scam,"Segera bayar denda ETLE untuk menghindari pemblokiran STNK."
scam,"Terdapat pelanggaran kendaraan atas nama Anda."
scam,"Klik link berikut untuk melihat bukti tilang digital."
scam,"Pelanggaran kamera ETLE tercatat pada kendaraan Anda."
scam,"STNK akan diblokir permanen jika denda tidak dibayar."
scam,"SIM Anda memerlukan verifikasi ulang melalui portal online."
scam,"Denda lalu lintas harus dibayar hari ini."
scam,"Pemberitahuan resmi: data SIM Anda perlu diperbarui."
scam,"Asuransi Anda akan dibatalkan jika tidak memperbarui pembayaran."
scam,"Klaim asuransi Anda berhasil disetujui. Login untuk pencairan."
scam,"Dana klaim asuransi Rp7 juta siap ditransfer."
scam,"Akun asuransi membutuhkan pembaruan informasi pribadi."
scam,"Pembayaran premi gagal. Mohon update rekening."
scam,"Program asuransi kesehatan memberikan bonus tunai."
scam,"Verifikasi polis asuransi sekarang untuk menjaga layanan tetap aktif."
scam,"Klaim BPJS Anda tertahan. Login untuk konfirmasi data."
scam,"Asuransi kendaraan Anda memerlukan update keamanan."
scam,"Pembayaran asuransi tertunda. Klik tautan berikut."

scam,"Halo kak, saya dari pihak bank. Ada transaksi mencurigakan di akun Anda, bisa bantu konfirmasi sebentar?"
scam,"Permisi, ini benar pemilik nomor ini? Paket Anda gagal dikirim tadi pagi."
scam,"Kak, akun marketplace Anda terdeteksi bermasalah. Bisa login ulang ya."
scam,"Mohon maaf mengganggu, kami dari pusat bantuan DANA terkait transaksi tidak dikenal."
scam,"Selamat sore, apakah benar melakukan transaksi sebesar Rp2.300.000 hari ini?"
scam,"Kami mendeteksi login baru di akun Anda. Jika bukan Anda, segera amankan sekarang."
scam,"Akun Anda sedang ditinjau karena aktivitas mencurigakan."
scam,"Mohon konfirmasi identitas agar akun tetap dapat digunakan."
scam,"Kami mencoba menghubungi Anda terkait hadiah yang belum diklaim."
scam,"Nomor Anda masuk daftar penerima reward pelanggan bulan ini."
scam,"Pendaftaran bantuan pendidikan telah dibuka kembali. Segera cek status Anda."
scam,"Silakan lakukan update data agar akun tidak dibatasi."
scam,"Mohon verifikasi nomor HP untuk melanjutkan proses layanan."
scam,"Kesempatan terakhir untuk klaim bonus saldo gratis."
scam,"Anda dipilih sebagai pengguna beruntung untuk program cashback besar."
scam,"Kak, bisa bantu cek apakah ini nomor aktif? Ada pengiriman paket tertunda."
scam,"Mohon maaf, sistem mendeteksi kesalahan alamat pengiriman."
scam,"Klik tautan berikut untuk melanjutkan proses aktivasi akun."
scam,"Link konfirmasi Anda akan kedaluwarsa dalam 10 menit."
scam,"Segera login untuk menghindari pembatasan layanan."
scam,"Kami dari customer service resmi ingin membantu menyelesaikan kendala akun Anda."
scam,"Silakan masukkan OTP agar sistem dapat menyelesaikan verifikasi."
